Beryl,,4.35,,,,4.28,,,,,,,,,,,4.06,,4.05,,,,,,,,,,,,,4.28,,,,,,4.27,,,,,,,,,,,4.06,,,,,,4.12,,4.05,,,,,,,,,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,4.05,,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorine,,1.55,,,,1.62,,,1.3,,1.3,,,,,,1.3,,1.3,,,,,,,,,,,,,,,,,,,1.63,,,,1.56,,,,,,,,,,,,,,,,,,,1.4,,1.42,,,1.55,,1.56,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corundum,,2.71,,,,2.61,,,2.3,,2.3,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,2.3,,2.3,,,,,,,,2.3,,,,,,,,,,,2.54,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond,,7.35,,,,7.32,,,,,,,,,,,5.85,,6.27,,6.07,,,,6.23,,6.1,,,,,,,,,,,6.67,,,,,,,,,6.33,,,,,,,,,,,,,,,,,,,,,6.92,,,,,,,6.13,,6.23,,6.31,,6.23,,6.3,,6.4,,,,,,,,,,,,,7.35,,,,,,,,,,,,,,,,,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distilled spirits,,4.95,,5.06,,5.04,,,,5.04,,5.04,,,,,,5.04,,5.04,,5.04,,5.04,,5.04,,5.04,,,,5.06,,5.05,,5.05,,5.08,4.68,,,5.03,,,4.66,,,5.18,,4.95,4.75,,,,,4.95,,4.95,,,,4.95,,4.95,,5.24,,4.95,,4.95,,,,,,5.03,,5.03,,5.03,,5.03,,5.55,,5.03,,5.67,,,,5.19,,5.05,,5.05,,5.05,,2.55,,,,5.03,,5.03,,5.03,,5.03,,5.03,,5.03,,5.04,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E'tam,,,,,,,,,,,,,85.82,,89.02,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,85.23,,,,,,,,,101.05,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorine,,2.8,,,,2.81,,,2.35,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,2.9,,,,,,,,,,,,,,,,,,,2.35,,2.35,,,2.91,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold,,6.08,,,,6.13,,,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,5.63,,5.89,,,,,,,,,,,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,5.4,,5.4,,,,,,,,,,,,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen,0.9,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,1.04,,1.03,,1.12,,1.11,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.9,,,,,1.02,,1.07,,,,,,,,,,,,,,,,,,,,,,1.03,,1.03,,1.03,,1.04,,1.11,,,,,,,,,,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iodine,0.38,,,,,,,,,,0.35,,,,,,,,,,0.35,,0.35,,,,,,,,,,,,,,,0.41,,,,0.45,,,,,,,,,,,,,,,,,,,0.35,,0.35,,,0.45,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laranite,,31.01,,,,29.32,,,,,,,,,,,,,,,27.89,,,,27.27,,,,,,,,,,,,,28.08,,,,,,,,,27.78,,,,,,,,,,,,,,,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.99,,,,,,,,,27.85,,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maze,,,,,,,,,,,,401.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.96,,,,,,,,,,,,,,,,403.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Supplies,,18.12,,19.36,,19.25,,,,18.01,,18.11,,,,17.96,,17.91,,18.68,,17.9,,18.27,,18.11,,18.11,,,,18.49,,17.91,,19.06,17.23,,,17.65,16.63,,,,,17.69,,17.53,,17.54,,17.57,,,,17.56,,18.18,,,,17.51,,17.57,16.7,,,,,18.43,,,,,,18.1,,19.23,,18.1,,18.1,,18.1,,18.1,,18.7,,,,18.1,,17.84,,18.1,,18.89,,19.25,,,,18.1,,18.62,,17.1,,18.31,,18.41,,19.23,,18.1,,18.1,,,,,,,,,,,,,,,15.87,,,,,,,,16.63,,16.63,,,,
Neon,,,,,,,,,,,,,,,70.62,,,,,,,,,,,,,,,,,,,11.25,,,,,,,,,70.32,,,,,,,,,,,,,,,,71.39,,,,,,,,,85.57,,85.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processed food,,1.38,,1.42,,1.38,,,,1.47,,1.47,,,,1.39,,1.47,,1.47,,1.47,,1.5,,,,1.47,,,,1.39,,1.39,,1.39,,1.38,1.2,,,1.5,,,,,,1.36,,1.36,1.2,,,,,1.36,,1.36,,,,1.5,,1.36,,1.37,,1.38,,1.36,,,,,,1.38,,1.38,,1.38,,1.38,,1.38,,1.38,,,,,,1.39,,1.39,,1.42,,1.37,,1.5,,,,1.38,,1.38,,1.38,,1.38,,1.38,,1.39,,1.38,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,1.33,,,,,,,,,,,,,,,,1.25,,1.25,,,,,,1.36,,,,,,,,,,,,,1.55,,,,,,,,,,,1.25,,,,,,1.25,,1.25,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrap,,1.66,1.53,,1.35,,1.35,,,,,,,,,,,,,,,,,,,,,,,,1.52,,1.35,,1.42,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,1.36,,1.55,,,,,,1.55,,,,1.55,,1.36,,1.36,,1.38,,1.35,,1.55,,1.36,,1.35,,,1.85,,,,,,,,,,,,,1.39,,,,1.35,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,
SLAM,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stims,,3.4,,3.46,,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,3.45,,3.45,,3.73,,3.64,2.8,,,,,,,3.8,,3.4,,,,,,3.4,,3.4,,,,3.8,,3.8,2.82,,,3.4,,3.4,,,,,,3.44,,3.44,,3.44,,3.44,,3.44,,3.44,,,,,,3.54,,3.45,,3.45,,3.45,,3.56,,,,3.44,,3.44,,3.45,,3.44,,3.44,,3.8,,3.45,,3.44,,,,,,,,,,,,,,,2.87,,,,,,,,,,2.8,,,,
Titanium,,8.7673,,,,8.9,,,7.95,,,,,,,,7.6,,7.95,,,,,,,,,,,,,,,,,,,8.36,,,,,,,,7.92,7.97,,,,,,,,,,,,,,,,,,,,,8.81,,,,,,8.6512,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,,,,,7.51,,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tungsten,,3.91,,,,3.93,,,,,,,,,,,,,,,3.55,,3.55,,3.55,,3.55,,,,,,,3.91,,3.91,,4.05,,,,,,,,,,,3.68,,,,,,3.73,,3.8,,,,,,,,,,,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,,,,,,,3.55,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste,0.01,,0.01,,0.01,,0.02,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,,,0.01,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,,,0.01,,,,0.01,,0.01,,0.01,,0.01,,,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.02,,,,0.02,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,
WiDoW,,,,,,,,,,,,,,,,,,,,124.25,,,,124.34,,,,,,,,,,24.48,,,,,,,,,118.48,,,,,,,,,,,,,,,,118.48,,,,,,,,,125.66,101.01,,101.01,,,,,,,123,,,,123,,123,,123,,,,,,,,,,,,,,,,,,123,,123,,123,,123,,,,,,123,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
